#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Name_key,playerID,teamID,salary,FullName,Age
1,Barry Bonds,SFG,143,612,46,117,110,9,0.324,0.077,0.429,0.33,0.37,0.582,0.799,0.544,,244,-1.2,108.9,-2.0,12.7,BARRY BONDS,bondsba01,SFN,15000000.0,Barry Bonds,37.935660506502394
2,Alex Rodriguez,TEX,162,725,57,125,142,9,0.12,0.168,0.324,0.29,0.3,0.392,0.623,0.424,,158,4.7,56.1,19.6,10.0,ALEX RODRIGUEZ,rodrial01,TEX,22000000.0,Alex Rodriguez,26.92950034223135
3,Jim Thome,CLE,147,613,52,101,118,1,0.199,0.227,0.373,0.319,0.304,0.445,0.677,0.461,,189,1.4,68.4,-16.3,7.3,JIM THOME,thomeji01,CLE,8000000.0,Jim Thome,31.84394250513347
4,Vladimir Guerrero,MON,161,709,39,106,111,40,0.118,0.099,0.257,0.327,0.336,0.417,0.593,0.419,,155,0.8,49.3,-0.9,7.1,VLADIMIR GUERRERO,guerrvl01,MON,8000000.0,Vladimir Guerrero,27.38945927446954
5,Brian Giles,PIT,153,644,38,95,103,15,0.21,0.115,0.324,0.282,0.298,0.45,0.622,0.444,,174,1.3,60.7,-12.8,6.9,BRIAN GILES,gilesbr02,PIT,8063003.0,Brian Giles,31.444216290212182
6,Jim Edmonds,STL,144,576,28,96,83,4,0.149,0.233,0.25,0.375,0.311,0.42,0.561,0.414,,157,-1.2,39.6,8.6,6.7,JIM EDMONDS,edmonji01,SLN,7333333.0,Jim Edmonds,32.01095140314853
7,Jeff Kent,SFG,152,682,37,102,108,5,0.076,0.148,0.252,0.324,0.313,0.368,0.565,0.397,,147,0.9,41.3,3.1,6.7,JEFF KENT,kentje01,SFN,6000000.0,Jeff Kent,34.31622176591376
8,Jason Giambi,NYY,155,689,41,120,122,2,0.158,0.163,0.284,0.328,0.314,0.435,0.598,0.44,,175,-5.5,58.2,-16.0,6.6,JASON GIAMBI,giambja01,NYA,10428571.0,Jason Giambi,31.477070499657767
9,Scott Rolen,2 Tms,155,667,31,89,110,8,0.108,0.153,0.238,0.273,0.266,0.357,0.503,0.37,,127,-3.9,18.6,24.9,6.5,SCOTT ROLEN,rolensc01,PHI,8600000.0,Scott Rolen,27.241615331964407
10,Andruw Jones,ATL,154,659,35,91,94,8,0.126,0.205,0.248,0.285,0.264,0.366,0.513,0.377,,130,-1.4,23.5,18.0,6.3,ANDRUW JONES,jonesan01,ATL,10000000.0,Andruw Jones,25.188227241615333
11,Lance Berkman,HOU,158,692,42,106,128,8,0.155,0.171,0.285,0.302,0.292,0.405,0.578,0.411,,149,2.6,45.1,-6.9,6.1,LANCE BERKMAN,berkmla01,HOU,500000.0,Lance Berkman,26.38740588637919
12,Chipper Jones,ATL,158,662,26,90,100,8,0.162,0.134,0.21,0.349,0.327,0.435,0.536,0.412,,153,0.5,44.6,-7.3,5.9,CHIPPER JONES,jonesch06,ATL,11333333.0,Chipper Jones,30.184804928131417
13,Eric Chavez,OAK,153,653,34,87,109,8,0.1,0.182,0.238,0.293,0.275,0.348,0.513,0.364,,125,2.9,22.6,12.2,5.7,ERIC CHAVEZ,chaveer01,OAK,2125000.0,Eric Chavez,24.56399726214921
14,Alfonso Soriano,NYY,156,741,39,128,102,41,0.031,0.212,0.247,0.335,0.3,0.332,0.547,0.374,,131,7.8,35.8,-4.8,5.6,ALFONSO SORIANO,soriaal01,NYA,630000.0,Alfonso Soriano,26.480492813141684
15,Mike Cameron,SEA,158,640,25,84,80,31,0.123,0.275,0.204,0.301,0.239,0.34,0.442,0.341,,113,9.2,19.6,13.6,5.5,MIKE CAMERON,camermi01,SEA,4666667.0,Mike Cameron,29.475701574264203
16,Todd Helton,COL,156,668,30,107,109,5,0.148,0.136,0.248,0.344,0.329,0.429,0.577,0.421,,141,-1.7,32.9,0.2,5.5,TODD HELTON,heltoto01,COL,5000000.0,Todd Helton,28.862422997946613
17,Albert Pujols,STL,157,675,34,118,127,2,0.107,0.102,0.247,0.308,0.314,0.394,0.561,0.404,,150,0.5,42.6,-10.2,5.4,ALBERT PUJOLS,pujolal01,SLN,600000.0,Albert Pujols,22.455852156057496
18,Carlos Beltrán,KCR,162,722,29,114,105,35,0.098,0.187,0.228,0.302,0.273,0.346,0.501,0.364,,117,6.6,21.3,8.1,5.4,CARLOS BELTRAN,beltrca01,KCA,3500000.0,Carlos Beltran,25.1854893908282
19,Larry Walker,COL,136,553,26,95,104,6,0.118,0.132,0.264,0.353,0.338,0.421,0.602,0.433,,150,4.1,38.4,-2.7,5.4,LARRY WALKER,walkela01,COL,12666667.0,Larry Walker,35.58110882956879
20,Edgardo Alfonzo,NYM,135,562,16,78,56,6,0.11,0.098,0.151,0.32,0.308,0.391,0.459,0.371,,129,5.8,26.2,8.8,5.3,EDGARDO ALFONZO,alfoned01,NYN,6200000.0,Edgardo Alfonzo,28.643394934976044
21,Manny Ramirez,BOS,120,518,33,84,107,0,0.141,0.164,0.298,0.373,0.349,0.45,0.647,0.459,,185,-5.4,48.9,-13.4,5.3,MANNY RAMIREZ,ramirma02,BOS,15462727.0,Manny Ramirez,30.086242299794662
22,Derek Jeter,NYY,157,730,18,124,75,32,0.1,0.156,0.124,0.336,0.297,0.373,0.421,0.352,,116,5.9,20.5,7.0,5.2,DEREK JETER,jeterde01,NYA,14600000.0,Derek Jeter,28.01368925393566
23,Luis Gonzalez,ARI,148,633,28,90,103,9,0.153,0.12,0.208,0.288,0.288,0.4,0.496,0.387,,131,3.3,28.2,3.4,5.2,LUIS GONZALEZ,gonzalu01,ARI,4333333.0,Luis Gonzalez,34.82546201232033
24,Bobby Abreu,PHI,157,685,20,102,85,31,0.152,0.171,0.213,0.354,0.308,0.413,0.521,0.401,,148,2.1,42.8,-13.1,5.2,BOBBY ABREU,abreubo01,PHI,6333333.0,Bobby Abreu,28.306639288158795
25,Sammy Sosa,CHC,150,666,49,122,108,2,0.155,0.216,0.306,0.302,0.288,0.399,0.594,0.416,,157,1.2,48.9,-20.1,5.1,SAMMY SOSA,sosasa01,CHN,15000000.0,Sammy Sosa,33.63175906913073
26,Corey Koskie,MIN,140,576,15,71,69,10,0.125,0.22,0.18,0.329,0.267,0.368,0.447,0.356,,116,-2.5,9.0,21.9,5.0,COREY KOSKIE,koskico01,MIN,2150000.0,Corey Koskie,29.00752908966461
27,Jacque Jones,MIN,149,626,27,96,85,6,0.059,0.206,0.211,0.342,0.3,0.341,0.511,0.364,,121,0.8,17.3,11.5,5.0,JACQUE JONES,jonesja04,MIN,312500.0,Jacque Jones,27.184120465434635
28,Bernie Williams,NYY,154,699,19,102,102,8,0.119,0.139,0.16,0.372,0.333,0.415,0.493,0.396,,146,1.6,40.8,-15.5,4.9,BERNIE WILLIAMS,willibe02,NYA,12357143.0,Bernie Williams,33.79603011635866
29,Shawn Green,LAD,158,685,42,110,114,8,0.136,0.164,0.273,0.286,0.285,0.385,0.558,0.394,,147,-3.7,36.6,-10.3,4.9,SHAWN GREEN,greensh01,LAN,13416667.0,Shawn Green,29.637234770704996
30,Mark Kotsay,SDP,153,646,17,82,61,11,0.091,0.138,0.159,0.319,0.292,0.359,0.452,0.355,,121,-1.2,16.1,11.4,4.9,MARK KOTSAY,kotsama01,SDN,3050000.0,Mark Kotsay,26.579055441478438
31,Eric Hinske,TOR,151,650,24,99,84,13,0.118,0.212,0.201,0.328,0.279,0.365,0.481,0.365,,121,5.2,21.7,4.6,4.8,ERIC HINSKE,hinsker01,TOR,200000.0,Eric Hinske,24.903490759753595
32,Jeff Bagwell,HOU,158,691,31,94,98,7,0.146,0.188,0.228,0.322,0.291,0.401,0.518,0.394,,138,2.1,34.7,-8.9,4.8,JEFF BAGWELL,bagweje01,HOU,11000000.0,Jeff Bagwell,34.09445585215606
33,Gary Sheffield,ATL,135,579,25,82,84,12,0.124,0.092,0.205,0.301,0.307,0.404,0.512,0.398,,144,2.5,34.6,-5.3,4.8,GARY SHEFFIELD,sheffga01,ATL,9916667.0,Gary Sheffield,33.61533196440794
34,Nomar Garciaparra,BOS,156,693,24,101,120,5,0.059,0.091,0.217,0.309,0.31,0.352,0.528,0.373,,127,2.5,25.9,-1.7,4.8,NOMAR GARCIAPARRA,garcino01,BOS,9000000.0,Nomar Garciaparra,28.93908281998631
35,Ichiro Suzuki,SEA,157,728,8,111,51,31,0.093,0.085,0.104,0.344,0.321,0.388,0.425,0.347,,118,6.3,22.1,-0.3,4.7,ICHIRO SUZUKI,suzukic01,SEA,3696000.0,Ichiro Suzuki,28.689938398357288
36,Randy Winn,TBD,152,674,14,87,75,27,0.082,0.162,0.163,0.342,0.298,0.36,0.461,0.356,,119,5.0,20.5,2.5,4.6,RANDY WINN,winnra01,TBA,960000.0,Randy Winn,28.060232717316907
37,Ryan Klesko,SDP,146,625,29,90,95,6,0.122,0.138,0.237,0.31,0.3,0.388,0.537,0.393,,147,3.8,40.3,-15.1,4.6,RYAN KLESKO,kleskry01,SDN,6000000.0,Ryan Klesko,31.052703627652292
38,John Olerud,SEA,154,668,22,85,102,0,0.147,0.099,0.19,0.302,0.3,0.403,0.49,0.386,,144,-1.2,34.7,-12.0,4.5,JOHN OLERUD,olerujo01,SEA,6950000.0,John Olerud,33.90280629705681
39,Mike Sweeney,KCR,126,545,24,81,86,9,0.112,0.084,0.223,0.333,0.34,0.417,0.563,0.415,,151,0.7,35.1,-8.4,4.5,MIKE SWEENEY,sweenmi01,KCA,8000000.0,Mike Sweeney,28.941820670773442
40,Magglio Ordonez,CHW,153,654,38,116,135,7,0.081,0.118,0.276,0.316,0.32,0.381,0.597,0.415,,155,-1.7,42.3,-19.4,4.5,MAGGLIO ORDONEZ,ordonma01,CHA,6500000.0,Magglio Ordonez,28.421629021218344
41,Miguel Tejada,OAK,162,715,34,108,131,7,0.053,0.117,0.199,0.31,0.308,0.354,0.508,0.371,,129,3.6,29.5,-8.8,4.5,MIGUEL TEJADA,tejadmi01,OAK,3625000.0,Miguel Tejada,28.10130047912389
42,David Eckstein,ANA,152,702,8,107,63,21,0.064,0.063,0.095,0.301,0.293,0.363,0.388,0.336,,105,5.7,10.2,10.6,4.5,DAVID ECKSTEIN,eckstda01,ANA,280000.0,David Eckstein,27.444216290212182
43,Rafael Palmeiro,TEX,155,663,43,99,105,2,0.157,0.142,0.299,0.255,0.273,0.391,0.571,0.402,,143,-1.9,32.9,-10.7,4.5,RAFAEL PALMEIRO,palmera01,TEX,8712986.0,Rafael Palmeiro,37.765913757700204
44,José Hernández,MIL,152,582,24,72,73,3,0.089,0.323,0.19,0.404,0.288,0.356,0.478,0.36,,119,-4.1,9.4,16.3,4.5,JOSE HERNANDEZ,hernajo01,MIL,3333333.0,Jose Hernandez,32.9637234770705
45,Pat Burrell,PHI,157,684,37,96,116,1,0.13,0.224,0.263,0.318,0.282,0.376,0.544,0.39,,140,-2.0,32.3,-10.8,4.4,PAT BURRELL,burrepa01,PHI,1905000.0,Pat Burrell,25.72210814510609
46,Junior Spivey,ARI,143,626,16,103,78,11,0.104,0.16,0.175,0.341,0.301,0.389,0.476,0.376,,124,1.6,20.7,2.4,4.3,JUNIOR SPIVEY,spiveju01,ARI,215000.0,Junior Spivey,27.422313483915126
47,Jose Vidro,MON,152,681,19,103,96,2,0.088,0.103,0.175,0.33,0.315,0.378,0.49,0.377,,127,3.8,26.9,-5.6,4.3,JOSE VIDRO,vidrojo01,MON,4000000.0,Jose Vidro,27.84394250513347
48,Johnny Damon,BOS,154,702,14,118,63,31,0.093,0.1,0.157,0.301,0.286,0.356,0.443,0.348,,110,6.3,15.2,4.4,4.3,JOHNNY DAMON,damonjo01,BOS,7250000.0,Johnny Damon,28.65160848733744
49,Carlos Delgado,TOR,143,628,33,103,108,1,0.162,0.201,0.271,0.302,0.277,0.406,0.549,0.401,,145,-3.5,31.1,-9.5,4.3,CARLOS DELGADO,delgaca01,TOR,19400000.0,Carlos Delgado,30.015058179329227
50,Torii Hunter,MIN,148,604,29,89,94,23,0.058,0.195,0.235,0.319,0.289,0.334,0.524,0.366,,122,0.2,16.8,5.0,4.2,TORII HUNTER,hunteto01,MIN,2400000.0,Torii Hunter,26.954140999315538
51,Steve Finley,ARI,150,577,25,82,89,16,0.113,0.127,0.212,0.293,0.287,0.37,0.499,0.373,,122,4.8,20.9,2.1,4.2,STEVE FINLEY,finlest01,ARI,5375000.0,Steve Finley,37.30321697467488
52,Adam Dunn,CIN,158,676,26,84,71,19,0.189,0.251,0.206,0.313,0.249,0.4,0.454,0.373,,125,2.5,23.8,-4.4,4.1,ADAM DUNN,dunnad01,CIN,250000.0,Adam Dunn,22.642026009582477
53,Edgar Renteria,STL,152,609,11,77,83,22,0.08,0.094,0.134,0.322,0.305,0.364,0.439,0.349,,113,-2.5,7.6,13.3,4.1,EDGAR RENTERIA,renteed01,SLN,6000000.0,Edgar Renteria,25.897330595482547
54,Adrian Beltré,LAD,159,635,21,70,75,7,0.058,0.151,0.169,0.273,0.257,0.303,0.426,0.313,,94,-0.2,-5.0,24.1,4.0,ADRIAN BELTRE,beltrad01,LAN,2800000.0,Adrian Beltre,23.23340177960301
55,Bret Boone,SEA,155,675,24,88,107,12,0.079,0.151,0.184,0.297,0.278,0.339,0.462,0.346,,116,1.7,15.3,1.1,3.9,BRET BOONE,boonebr01,SEA,8000000.0,Bret Boone,33.23477070499658
56,Mark Bellhorn,CHC,146,529,27,86,56,7,0.144,0.272,0.254,0.321,0.258,0.374,0.512,0.382,,135,1.8,25.2,-4.0,3.9,MARK BELLHORN,bellhma01,CHN,224000.0,Mark Bellhorn,27.854893908281998
57,Jorge Posada,NYY,143,598,20,79,99,1,0.135,0.239,0.2,0.333,0.268,0.37,0.468,0.362,,123,-4.7,11.8,5.7,3.8,JORGE POSADA,posadjo01,NYA,7000000.0,Jorge Posada,31.871321013004792
58,Garret Anderson,ANA,158,678,29,93,123,6,0.044,0.118,0.234,0.308,0.306,0.332,0.539,0.364,,123,2.8,22.4,-8.1,3.7,GARRET ANDERSON,anderga01,ANA,5000000.0,Garret Anderson,30.001368925393567
59,Troy Glaus,ANA,156,671,30,99,111,10,0.131,0.215,0.204,0.278,0.25,0.352,0.453,0.35,,114,4.8,16.7,-2.3,3.7,TROY GLAUS,glaustr01,ANA,4000000.0,Troy Glaus,25.908281998631075
60,Robin Ventura,NYY,141,562,27,68,93,3,0.16,0.18,0.211,0.257,0.247,0.368,0.458,0.358,,120,-0.6,13.2,4.4,3.7,ROBIN VENTURA,venturo01,NYA,8500000.0,Robin Ventura,34.965092402464066
61,Cliff Floyd,3 Tms,146,609,28,86,79,15,0.125,0.174,0.244,0.314,0.288,0.388,0.533,0.387,,139,5.7,35.0,-18.4,3.7,CLIFF FLOYD,floydcl01,FLO,6500000.0,Cliff Floyd,29.568788501026695
62,Darin Erstad,ANA,150,663,10,99,73,23,0.041,0.101,0.106,0.303,0.283,0.313,0.389,0.305,,84,6.6,-6.1,19.8,3.6,DARIN ERSTAD,erstada01,ANA,6250000.0,Darin Erstad,28.073921971252567
63,Ray Durham,2 Tms,150,659,15,114,70,26,0.111,0.141,0.161,0.321,0.289,0.374,0.45,0.362,,121,7.9,24.8,-11.9,3.5,RAY DURHAM,durhara01,CHA,6300000.0,Ray Durham,30.584531143052704
64,Derrek Lee,FLA,162,688,27,95,86,19,0.142,0.238,0.224,0.33,0.27,0.378,0.494,0.375,,132,0.6,28.3,-15.9,3.5,DERREK LEE,leede02,FLO,2700000.0,Derrek Lee,26.817248459958932
65,Jose Valentin,CHW,135,527,25,70,75,3,0.082,0.188,0.23,0.262,0.249,0.311,0.479,0.337,,102,0.6,2.1,14.8,3.5,JOSE VALENTIN,valenjo03,CHA,5000000.0,Jose Valentin,32.71731690622861
66,Adam Kennedy,ANA,144,509,7,65,52,17,0.037,0.157,0.137,0.361,0.312,0.345,0.449,0.345,,111,5.6,12.5,4.7,3.4,ADAM KENNEDY,kennead01,ANA,375000.0,Adam Kennedy,26.472279260780287
67,Mike Piazza,NYM,135,541,33,69,98,0,0.105,0.152,0.264,0.276,0.28,0.359,0.544,0.381,,136,-3.9,20.3,-4.0,3.4,MIKE PIAZZA,piazzmi01,NYN,10571429.0,Mike Piazza,33.82067077344285
68,Omar Vizquel,CLE,151,663,14,85,72,18,0.084,0.097,0.143,0.284,0.275,0.341,0.418,0.331,,102,5.2,6.8,3.7,3.3,OMAR VIZQUEL,vizquom01,CLE,4500000.0,Omar Vizquel,35.186858316221766
69,Tim Salmon,ANA,138,568,22,84,88,6,0.125,0.18,0.217,0.317,0.286,0.38,0.503,0.381,,135,-0.9,23.6,-9.9,3.3,TIM SALMON,salmoti01,ANA,9650000.0,Tim Salmon,33.8507871321013
70,Scott Hatteberg,OAK,136,569,15,58,61,0,0.121,0.098,0.152,0.291,0.28,0.375,0.433,0.358,,121,1.4,16.0,-3.2,3.2,SCOTT HATTEBERG,hattesc01,OAK,900000.0,Scott Hatteberg,32.544832306639286
71,Shannon Stewart,TOR,141,641,10,103,45,14,0.084,0.094,0.139,0.325,0.303,0.371,0.442,0.358,,116,3.3,15.7,-5.9,3.2,SHANNON STEWART,stewash01,TOR,4250000.0,Shannon Stewart,28.344969199178646
72,Ellis Burks,CLE,138,570,32,92,91,2,0.077,0.189,0.239,0.327,0.301,0.362,0.541,0.386,,139,-1.5,25.8,-14.2,3.1,ELLIS BURKS,burksel01,CLE,6666667.0,Ellis Burks,37.80150581793292
73,Reggie Sanders,SFG,140,571,23,75,85,18,0.082,0.212,0.206,0.28,0.25,0.324,0.455,0.336,,107,4.0,8.7,3.4,3.1,REGGIE SANDERS,sandere02,SFN,1750000.0,Reggie Sanders,34.58179329226557
74,David Bell,SFG,154,628,20,82,73,1,0.086,0.127,0.168,0.27,0.261,0.333,0.429,0.333,,104,-0.9,2.6,7.6,3.1,DAVID BELL,bellda01,SFN,1750000.0,David Bell,29.793292265571527
75,Melvin Mora,BAL,149,652,19,86,64,16,0.107,0.166,0.171,0.256,0.233,0.338,0.404,0.329,,102,0.7,2.6,5.6,3.0,MELVIN MORA,morame01,BAL,350000.0,Melvin Mora,30.409308692676248
76,Placido Polanco,2 Tms,147,595,9,75,49,5,0.044,0.069,0.115,0.299,0.288,0.33,0.403,0.323,,96,0.9,-2.0,11.8,2.9,PLACIDO POLANCO,polanpl01,SLN,1750000.0,Placido Polanco,26.72416153319644
77,Richie Sexson,MIL,157,652,29,86,102,0,0.107,0.209,0.225,0.318,0.279,0.363,0.504,0.372,,126,-2.7,18.4,-10.9,2.9,RICHIE SEXSON,sexsori01,MIL,3125000.0,Richie Sexson,27.50444900752909
